TransactionID,CustomerID,TransactionDate,ProductCategory,Amount,PaymentMethod,CustomerAge,Churned
TXN-10000,CUST-833,2023-01-01 00:00:00,Home & Kitchen,130.26,UPI,34.0,0
TXN-10001,CUST-712,2023-01-01 01:00:00,Clothing,200.53,Credit Card,18.0,0
TXN-10002,CUST-879,2023-01-01 02:00:00,Electronics,98.88,Debit Card,52.0,0
TXN-10003,CUST-663,2023-01-01 03:00:00,Beauty,137.29,UPI,60.0,0
TXN-10004,CUST-939,2023-01-01 04:00:00,Books,110.89,Credit Card,25.0,0
TXN-10005,CUST-879,2023-01-01 05:00:00,Books,21.54,UPI,52.0,0
TXN-10006,CUST-798,2023-01-01 06:00:00,Home & Kitchen,112.26,Debit Card,18.0,1
TXN-10007,CUST-228,2023-01-01 07:00:00,Electronics,82.54,PayPal,60.0,0
TXN-10008,CUST-574,2023-01-01 08:00:00,Beauty,117.33,Credit Card,52.0,1
TXN-10009,CUST-747,2023-01-01 09:00:00,Electronics,118.94,Debit Card,25.0,0
TXN-10010,CUST-665,2023-01-01 10:00:00,Books,135.41,Credit Card,18.0,0
TXN-10011,CUST-602,2023-01-01 11:00:00,Electronics,98.79,Credit Card,34.0,0
TXN-10012,CUST-708,2023-01-01 12:00:00,Beauty,103.8,PayPal,34.0,1
TXN-10013,CUST-915,2023-01-01 13:00:00,Home & Kitchen,148.03,PayPal,45.0,0
TXN-10014,CUST-212,2023-01-01 14:00:00,Clothing,87.64,UPI,52.0,0
TXN-10015,CUST-663,2023-01-01 15:00:00,Electronics,46.46,Debit Card,25.0,0
TXN-10016,CUST-127,2023-01-01 16:00:00,Clothing,126.28,Debit Card,52.0,1
TXN-10017,CUST-152,2023-01-01 17:00:00,Books,162.83,PayPal,18.0,1
TXN-10018,CUST-266,2023-01-01 18:00:00,Home & Kitchen,147.57,Credit Card,45.0,0
TXN-10019,CUST-535,2023-01-01 19:00:00,Home & Kitchen,127.02,UPI,25.0,0
TXN-10020,CUST-609,2023-01-01 20:00:00,Electronics,170.03,PayPal,52.0,1
TXN-10021,CUST-872,2023-01-01 21:00:00,Home & Kitchen,163.28,UPI,25.0,1
TXN-10022,CUST-956,2023-01-01 22:00:00,Electronics,106.76,UPI,18.0,0
TXN-10023,CUST-646,2023-01-01 23:00:00,Electronics,129.9,Debit Card,45.0,1
TXN-10024,CUST-714,2023-01-02 00:00:00,Clothing,131.62,UPI,25.0,0
TXN-10025,CUST-748,2023-01-02 01:00:00,Home & Kitchen,116.53,Debit Card,18.0,0
TXN-10026,CUST-915,2023-01-02 02:00:00,Electronics,165.37,Credit Card,34.0,0
TXN-10027,CUST-939,2023-01-02 03:00:00,Clothing,113.91,Credit Card,25.0,0
TXN-10028,CUST-895,2023-01-02 04:00:00,Beauty,99.99,PayPal,45.0,0
TXN-10029,CUST-162,2023-01-02 05:00:00,Clothing,16.34,Credit Card,,0
TXN-10030,CUST-506,2023-01-02 06:00:00,Clothing,88.07,Debit Card,60.0,0
TXN-10031,CUST-230,2023-01-02 07:00:00,Electronics,67.38,UPI,60.0,0
TXN-10032,CUST-256,2023-01-02 08:00:00,Books,118.38,UPI,25.0,0
TXN-10033,CUST-838,2023-01-02 09:00:00,Books,69.85,Credit Card,25.0,0
TXN-10034,CUST-287,2023-01-02 10:00:00,Books,144.35,Debit Card,18.0,1
TXN-10035,CUST-527,2023-01-02 11:00:00,Clothing,164.34,UPI,52.0,0
TXN-10036,CUST-891,2023-01-02 12:00:00,Electronics,118.75,Credit Card,60.0,0
TXN-10037,CUST-351,2023-01-02 13:00:00,Home & Kitchen,80.64,Debit Card,52.0,0
TXN-10038,CUST-609,2023-01-02 14:00:00,Clothing,131.46,Debit Card,60.0,1
TXN-10039,CUST-844,2023-01-02 15:00:00,Clothing,195.74,UPI,25.0,0
